ID_VIV,ID_PERSONA,ENT,NOM_ENT,MUN,NOM_MUN,LOC50K,NOM_LOC,COBERTURA,ESTRATO,UPM,FACTOR,NUMPER,SEXO,EDAD,PARENT,PARENT_OTRO_C,IDENT_MADRE,IDENT_PADRE,SERSALUD,AFRODES,ACTA_NAC,DHSERSAL1,DHSERSAL2,PERTE_INDIGENA,ENT_PAIS_NAC,NACIONALIDAD,HLENGUA,QDIALECT_C,QDIALECT_INALI,HESPANOL,ELENGUA,ASISTEN,MUN_ASI,NOM_MUN_ASI,ENT_PAIS_ASI,TIE_TRASLADO_ESCU,MED_TRASLADO_ESC1,MED_TRASLADO_ESC2,MED_TRASLADO_ESC3,ESCOLARI,NIVACAD,ALFABET,ESCOACUM,MUN_RES10,NOM_MUN_RES10,ENT_PAIS_RES10,SITUA_CONYUGAL,IDENT_PAREJA,CONACT,OCUPACION_C,SITUACION_TRAB,AGUINALDO,VACACIONES,SERVICIO_MEDICO,UTILIDADES,INCAP_SUELDO,SAR_AFORE,CREDITO_VIVIENDA,INGTRMEN,ACTIVIDADES_C,MUN_TRAB,NOM_MUN_TRAB,ENT_PAIS_TRAB,TIE_TRASLADO_TRAB,MED_TRASLADO_TRAB1,MED_TRASLADO_TRAB2,MED_TRASLADO_TRAB3,ACTI_SIN_PAGO1,ACTI_SIN_PAGO2,ACTI_SIN_PAGO3,ACTI_SIN_PAGO4,ACTI_SIN_PAGO5,ACTI_SIN_PAGO6,ACTI_SIN_PAGO7,ACTI_SIN_PAGO8,HIJOS_NAC_VIVOS,HIJOS_FALLECIDOS,HIJOS_SOBREVIV,FECHA_NAC_M,FECHA_NAC_A,SOBREVIVENCIA,EDAD_MORIR_D,EDAD_MORIR_M,EDAD_MORIR_A,TAMLOC
130270001711,13027000171104,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84741,2,4,3,2,4,409,2,98,5,3,1,1,,1,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130270001712,13027000171201,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,1,1,60,1,101,97,96,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,6,2,5,6,27,Huehuetla,13,2,,10,611,5,,,,,,,,2571,1110,27,Huehuetla,13,3,6,,,0,1,0,0,0,2,2,0,,,,,,,,,,2
130270001714,13027000171401,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,1,1,22,1,101,96,96,5,3,1,1,,1,13,5,3,,,,3,7,,,,,,,,3,4,5,12,27,Huehuetla,13,1,2,35,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270001714,13027000171402,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,2,3,21,2,201,96,96,5,3,1,1,,1,21,5,3,,,,3,5,27,Huehuetla,13,3,1,,,1,11,5,13,27,Huehuetla,13,1,1,31,,,,,,,,,,,,,,,,,,,0,0,10,0,0,14,14,2,1,0,1,8,2010,1,,,,2
130270001714,13027000171403,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84743,3,3,1,4,3,301,2,1,5,3,1,1,,1,13,5,3,,,,3,5,27,Huehuetla,13,1,6,,,1,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
130270001733,13027000173301,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,1,3,61,1,101,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,0,0,7,0,27,Huehuetla,13,5,2,15,411,5,,,,,,,,4286,4611,27,Huehuetla,13,7,,,,0,24,0,24,24,1,1,1,8,2,6,8,1984,1,,,,2
130270001733,13027000173302,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84735,2,2,1,72,2,201,96,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,0,0,7,0,27,Huehuetla,13,5,1,34,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270001735,13027000173501,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,1,1,56,1,101,97,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,0,0,7,0,27,Huehuetla,13,5,2,10,911,2,2,4,6,8,2,4,6,2571,1110,27,Huehuetla,13,4,6,,,0,0,0,0,0,0,0,0,,,,,,,,,,2
130270001735,13027000173502,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,2,3,50,8,423,96,97,5,3,1,1,,1,13,5,1,712,702,5,,7,,,,,,,,0,0,7,0,27,Huehuetla,13,5,1,33,,,,,,,,,,,,,,,,,,,0,0,0,0,0,14,14,2,2,0,2,1,2001,1,,,,2
130270001735,13027000173503,13,Hidalgo,27,Huehuetla,0,Localidad de menos de 50 mil habitantes,2,13-027-08,84738,2,3,3,15,3,301,2,1,5,3,1,1,,1,13,5,1,712,702,5,,5,27,Huehuetla,13,1,6,,,3,3,5,9,27,Huehuetla,13,6,,31,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,,,,,,,,,2
